,Name,Registration Number,GPA
0,Ahmed Khan,21jzele04230,3.22
1,Fatima Noor,21jzele04231,2.15
2,Mohammad Ali,21jzele04232,2.74
3,Ayesha Siddiq,21jzele04233,3.34
4,Hassan Raza,21jzele04234,2.8
5,Zainab Sheikh,21jzele04235,2.6
6,Umar Farooq,21jzele04236,3.61
7,Maryam Bibi,21jzele04237,3.25
8,Bilal Saeed,21jzele04238,2.14
9,Khadija Rehman,21jzele04239,2.15
10,Yusuf Jamal,21jzele04240,2.01
11,Hafsa Tariq,21jzele04241,2.33
12,Ibrahim Zaid,21jzele04242,2.15
13,Nimra Shah,21jzele04243,2.07
14,Suleman Iqbal,21jzele04244,3.3
